PID1,PID2,B1,B2,PB,D1,D2,PD,PRODUCT,AVERAGE,DUPLICATE,
KZB4-HFD,KNL5-3BK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZ9Y-DD8,GMFH-474,+1765-01-20,A+1765,1.0,missing,missing,0.5,0.5,0.75,Y,
987Y-7T7,987H-MNK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LJT7-H4C,LJTQ-QDS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWC-PMS,J3LD-9G4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTT-J3C,LJT4-4TW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNQ-DNC,9JN9-57J,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPW1-6YK,MZBR-M76,+1783-09-24,+1783-09-24,1.0,missing,missing,0.5,0.5,0.75,Y,
MJ6X-D3T,MW38-Q49,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6B-8T7,M6KB-TML,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPW7-S9H,LRQS-437,missing,+1754-11,0.5,missing,missing,0.5,0.25,0.5,N,
L4JH-SV2,L4JH-SV2,+1819-05-14,+1819-05-14,1.0,/+1871,/+1871,1.0,1.0,1.0,Y,
MR8S-HKD,M8CZ-6XZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
989W-4GQ,L1TY-DK6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDW-PDW,MRDB-R2R,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDP-PYS,KL3P-QKM,+1875-05-10,+1875-05-10,1.0,missing,missing,0.5,0.5,0.75,N,
KZB7-MZP,KXZJ-KTD,missing,+1821,0.5,missing,missing,0.5,0.25,0.5,N,
KZBM-7PF,KHWX-D7H,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWX-5MY,MPWH-K6L,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJT7-H4C,LJTR-KPJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ76-FHJ,MJ7F-FGX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNQ-DNC,KZ61-B15,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTT-J3C,LJY9-ZM3,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6X-D3T,9JPM-5C2,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPWC-PMS,9SDR-RYH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPVW-FY4,MP25-B5H,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPW1-6YK,9QV5-CBB,+1783-09-24,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCT9-1BQ,K8F5-ZMD,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZB4-HFD,2Q1R-DC3,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNK-RD1,9JNK-XGK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDG-PP3,97NS-YJ6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWX-5MY,K224-TZV,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZBT-6ZJ,9Q37-DWR,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6F-SS7,MJ6F-SMW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DZ-XYN,L6DX-9Z9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DS-8FB,L6DX-681,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6X-D3T,MJ66-2HH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCT1-FBD,9CVR-J8B,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTT-J3C,LJT4-CSK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB4-HFD,KNVN-73M,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L4JH-SV2,L4JH-SV2,+1819-05-14,+1819-05-14,1.0,/+1871,/+1871,1.0,1.0,1.0,Y,
KLXL-DCW,9QFJ-265,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBM-7PF,M4K3-RT1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDG-PP3,MCT4-3T1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR8V-F6N,96WN-QSL,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDW-PDW,K69W-NXC,missing,+1754,0.5,missing,+1828-02-14,0.5,0.25,0.5,N,
LJT7-H4C,LJTY-Q8M,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR8L-QKB,MT69-JTR,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZB7-MZP,KCX7-PYS,missing,+1824,0.5,missing,missing,0.5,0.25,0.5,N,
MPWX-5MY,MSMY-V4N,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6F-SS7,MJ6F-WZ1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DS-8FB,L8TM-LFF,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DZ-XYN,L8TD-CXY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNR-8NN,KNTW-8TN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWD-49Z,MYK4-ZGC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCT1-FBD,KVB7-51C,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTT-J3C,LJTB-4N7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPW1-XCS,9775-GX5,+1716-12-22,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPVW-WMW,94PW-JTP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR8V-F6N,99JX-GB9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB4-HFD,KN2D-275,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDG-PP3,LVPG-SVW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KLXL-DCW,MY1F-19C,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR89-LB1,MR46-FVF,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDW-PDW,MR9B-KZC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR8L-QKB,MTDM-SR3,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LJTG-P3J,LJT2-VFT,+1797-11-27,+1797-11-27,1.0,missing,missing,0.5,0.5,0.75,Y,
KZBT-6ZJ,932N-PSW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DZ-XYN,L6DX-7B1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
98CQ-G2Y,K6C3-S2R,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L6DS-8FB,L8TF-M3Z,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNK-RD1,9KNR-669,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPVW-WMW,97WQ-PQM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LJT8-LHR,LJTC-XCM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT1-FBD,K8PB-KMG,missing,A+1833,0.5,missing,missing,0.5,0.25,0.5,N,
LJTT-J3C,LJ8C-WPV,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDW-PDW,M3GC-Z4Z,missing,+1743-06-07,0.5,missing,missing,0.5,0.25,0.5,N,
MR89-LB1,MR89-GMS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZB4-HFD,MYS2-78G,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWX-W8B,KZM2-462,missing,+1816,0.5,missing,missing,0.5,0.25,0.5,Y,
MR8L-QKB,KZK1-LSX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR8V-F6N,MTSJ-8H4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJT8-LHR,LJTC-FJC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT1-FBD,M4DV-ZZB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDW-PDW,M3GC-ZCL,missing,+1749-11-19,0.5,missing,missing,0.5,0.25,0.5,N,
MPVW-WMW,MQ6S-SDB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR89-LB1,MRC7-JPD,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCSZ-C83,97WG-TGM,A+1751,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB9-G1K,M5G8-B3S,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR8V-F6N,9H3P-V1B,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6F1-VXZ,L6NM-6QM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR9W-QCP,K8B2-NG6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DS-HZF,L6DS-3QT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJT8-LHR,LJT4-NZ9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCT1-FBD,M2PQ-8BW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPVW-WMW,MQ6Y-Q8F,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDW-PDW,KZMJ-LH7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZBM-XYN,9M9V-T52,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR89-LB1,L4JH-XG5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCSZ-C83,LVP9-KRY,A+1751,A+1762,0.0,missing,missing,0.5,0.0,0.25,Y,
LJTV-23Y,9HMY-BLW,+1870,missing,0.5,+1940-10-16,missing,0.5,0.25,0.5,Y,
KZB9-G1K,K87T-CFV,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNK-RD1,9KNR-NCB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6F1-VXZ,LX1J-W4F,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KLXP-NN4,96YH-KQY,A+1830,A+1830,1.0,missing,missing,0.5,0.5,0.75,N,
MR8L-QKB,MLVQ-L33,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR9W-QCP,KHHR-26D,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L6DS-HZF,L6DQ-SFM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJT8-LHR,LJY3-CYW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPVW-WMW,M35T-R2B,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZBM-XYN,9SL3-6CN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR89-LB1,MR81-GCV,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZB9-G1K,KGP1-LPW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR8Y-KJZ,MR8Y-KFR,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
